,VR1:VRF Heat Pump Condenser Inlet Temperature [C](Hourly),VR2:VRF Heat Pump Condenser Inlet Temperature [C](Hourly),VR3:VRF Heat Pump Condenser Inlet Temperature [C](Hourly),VR4:VRF Heat Pump Condenser Inlet Temperature [C](Hourly)
2013-07-20 19:00:00,33.0,33.0,33.0,33.0
2013-07-20 20:00:00,33.0,33.0,33.0,33.0
2013-07-20 21:00:00,33.0,33.0,33.0,33.0
2013-07-20 22:00:00,33.0,33.0,33.0,33.0
2013-07-20 23:00:00,33.0,33.0,33.0,33.0
2013-07-21 00:00:00,33.0,33.0,33.0,33.0
2013-01-01 01:00:00,14.3,14.3,14.3,14.3
2013-01-01 02:00:00,15.2416666666667,15.2416666666667,15.2416666666667,15.2416666666667
2013-01-01 03:00:00,15.141666666666698,15.141666666666698,15.141666666666698,15.141666666666698
2013-01-01 04:00:00,15.158333333333301,15.158333333333301,15.158333333333301,15.158333333333301
2013-01-01 05:00:00,15.2,15.2,15.2,15.2
2013-01-01 06:00:00,15.141666666666698,15.141666666666698,15.141666666666698,15.141666666666698
2013-01-01 07:00:00,14.75,14.75,14.75,14.75
2013-01-01 08:00:00,14.675,14.675,14.675,14.675
2013-01-01 09:00:00,15.3833333333333,15.3833333333333,15.3833333333333,15.3833333333333
2013-01-01 10:00:00,16.675,16.675,16.675,16.675
2013-01-01 11:00:00,18.7,18.7,18.7,18.7
2013-01-01 12:00:00,20.283333333333303,20.283333333333303,20.283333333333303,20.283333333333303
2013-01-01 13:00:00,21.108333333333302,21.108333333333302,21.108333333333302,21.108333333333302
2013-01-01 14:00:00,21.1666666666667,21.1666666666667,21.1666666666667,21.1666666666667
2013-01-01 15:00:00,20.475,20.475,20.475,20.475
2013-01-01 16:00:00,19.6916666666667,19.6916666666667,19.6916666666667,19.6916666666667
2013-01-01 17:00:00,18.466666666666697,18.466666666666697,18.466666666666697,18.466666666666697
2013-01-01 18:00:00,16.6333333333333,16.6333333333333,16.6333333333333,16.6333333333333
2013-01-01 19:00:00,15.391666666666698,15.391666666666698,15.391666666666698,15.391666666666698
