,VR1:VRF Heat Pump Cooling COP [](Hourly),VR2:VRF Heat Pump Cooling COP [](Hourly),VR3:VRF Heat Pump Cooling COP [](Hourly),VR4:VRF Heat Pump Cooling COP [](Hourly),VR5:VRF Heat Pump Cooling COP [](Hourly)
2013-06-21 17:00:00,5.3953266983081996,4.83468307024543,5.23920495580798,5.543419987816139,5.5316523411897895
2013-06-21 18:00:00,4.99959302663195,4.17799956666433,3.87513822823225,4.9745628944237,4.8088414283895995
2013-06-21 19:00:00,3.5565205751134403,3.2152671797992904,3.9371775652644803,4.57303467508725,3.50529441800165
2013-06-21 20:00:00,3.4626319559595298,3.1515194672545896,3.2597249738548797,3.98591971981718,3.4249304678869503
2013-06-21 21:00:00,3.43800529889013,3.12650813717605,3.21219903797498,4.523582489930259,3.40109251147294
2013-06-21 22:00:00,3.46280359504394,3.1501810664967,3.2314178504017996,0.0,3.42859345895362
2013-06-21 23:00:00,0.0,0.0,1.4596831499236598,0.0,0.549495413967056
2013-06-22 00:00:00,1.10466854868876,3.0445795777895,3.0169451446260602,0.0,3.31461264638873
2013-06-22 01:00:00,0.0,0.0,0.0,0.0,0.0
2013-06-22 02:00:00,0.0,0.0,0.0,0.0,0.0
2013-06-22 03:00:00,0.0,0.0,0.0,0.0,0.0
2013-06-22 04:00:00,0.0,0.0,0.0,0.0,0.0
2013-06-22 05:00:00,0.0,0.0,0.0,0.0,0.0
2013-06-22 06:00:00,0.0,0.0,0.0,0.0,0.0
2013-06-22 07:00:00,3.46922257064363,3.08237766879375,3.0642215250537204,3.29842327842938,3.3775237498732995
2013-06-22 08:00:00,3.97241722386847,3.46639075039985,4.558205274617849,4.56733080756526,3.84196453916816
2013-06-22 09:00:00,5.45453140069643,5.01968820459662,4.9555247493903,5.29009394395748,5.537792602907981
2013-06-22 10:00:00,5.31066803110014,4.89578514541098,4.916787281693,5.32060154885261,5.378784081346089
2013-06-22 11:00:00,5.31442455943613,4.89600833260688,4.90368879401757,5.29488434012816,5.34519321214528
2013-06-22 12:00:00,5.28128000507042,4.80877082342231,4.78697782759453,5.198816889944929,5.23626502106481
2013-06-22 13:00:00,4.95855822982965,4.51368687050038,4.771150313982,5.256499416649049,5.11453424040446
2013-06-22 14:00:00,5.34498674660119,4.8936492572656904,4.86846237900915,5.284467334233151,5.34197887134566
2013-06-22 15:00:00,5.206523769587361,4.78158143513687,4.80483361833325,5.210158522673059,5.26952738735216
2013-06-22 16:00:00,5.12856483001886,4.7585582020365305,4.875634124423541,5.28113490841686,5.31563474043176
2013-06-22 17:00:00,4.9543129565707895,4.6352660787099405,4.892189478586809,5.19971540346929,5.246665178657401
2013-06-22 18:00:00,4.54730108045139,4.12731978512059,3.4626537598957503,4.70891478338315,4.56964856447289
2013-06-22 19:00:00,3.36818227415331,3.0465965109620297,4.006562923728779,4.5035730290864295,3.33396858645164
2013-06-22 20:00:00,3.3672363134402996,3.05083081731838,3.2781302201628,4.22383155926095,3.31997427193538
2013-06-22 21:00:00,3.3690362240542,3.0492292905605503,3.15774296759803,4.61147168906364,3.3176446824703403
2013-06-22 22:00:00,3.3880405293179203,3.07161453922916,3.17077695591725,0.0,3.34310298536936
2013-06-22 23:00:00,1.06184398073366,0.730010963140619,1.20686532666704,0.0,0.79579097583383
2013-06-23 00:00:00,3.27201467181759,2.9914783319050198,2.9865345441809397,0.0,3.25978053101211
2013-06-23 01:00:00,0.0,0.0,0.0,0.0,0.0
2013-06-23 02:00:00,0.0,0.0,0.0,0.0,0.0
2013-06-23 03:00:00,0.0,0.0,0.0,0.0,0.0
2013-06-23 04:00:00,0.0,0.0,0.0,0.0,0.0
2013-06-23 05:00:00,0.0,0.0,0.0,0.0,0.0
2013-06-23 06:00:00,0.0,0.0,0.0,0.0,0.0
2013-06-23 07:00:00,4.47129860152248,3.54529438732498,3.30453780815404,3.9138035049428397,4.0707000821253505
2013-06-23 08:00:00,4.6098414393925795,4.47596979849242,4.55493440884166,4.57233752219061,4.6243841446534
2013-06-23 09:00:00,4.3442831462910405,4.03420003613288,4.2635750270803205,4.299154727836481,4.33469341907942
2013-06-23 10:00:00,4.50984756354727,4.09982442613862,4.53764228151842,4.23925089332162,4.23232123433857
