,COP,PLR,Temp
2013-10-29 07:00:00,2.86253840767648,0.231944444444445,24.6833333333333
2013-10-29 08:00:00,4.427540026620981,0.38937332173293604,25.4166666666667
2013-10-29 09:00:00,5.09028247627219,0.46080743847307004,26.5833333333333
2013-10-29 10:00:00,4.79178837169147,0.420909446742187,27.5541666666667
2013-10-29 11:00:00,4.4388501985496305,0.378000465326108,28.5041666666667
2013-10-29 12:00:00,4.19474680429997,0.358670110198305,29.716666666666697
2013-10-29 13:00:00,4.14955434777045,0.36297163312730296,30.533333333333303
2013-10-29 14:00:00,4.08262297122655,0.364892865619077,31.341666666666697
2013-10-29 15:00:00,3.93258243829925,0.343952896899023,31.216666666666697
2013-10-29 16:00:00,3.82001423971866,0.31855960599221395,30.0416666666667
2013-10-29 17:00:00,3.76713364176957,0.30713087561845803,28.5083333333333
2013-10-29 18:00:00,3.50741676181921,0.279180688898701,27.216666666666697
2013-10-29 19:00:00,0.0,0.0,26.625
2013-10-29 20:00:00,0.0,0.0,26.4416666666667
2013-10-29 21:00:00,0.0,0.0,25.9333333333333
2013-10-29 22:00:00,0.0,0.0,25.1333333333333
2013-10-29 23:00:00,0.0,0.0,24.654166666666697
2013-10-30 00:00:00,0.0,0.0,24.404166666666697
2013-10-30 01:00:00,0.0,0.0,24.1833333333333
2013-10-30 02:00:00,0.0,0.0,24.275
2013-10-30 03:00:00,0.0,0.0,24.225
2013-10-30 04:00:00,0.0,0.0,23.8666666666667
2013-10-30 05:00:00,0.0,0.0,23.466666666666697
2013-10-30 06:00:00,0.0,0.0,23.1833333333333
2013-10-30 07:00:00,2.91733862074149,0.236111111111111,23.5666666666667
2013-10-30 08:00:00,4.2231919392737405,0.340103303994692,23.783333333333303
2013-10-30 09:00:00,5.33931724477176,0.6361201979365639,24.8666666666667
2013-10-30 10:00:00,4.982209248864769,0.64501226385907,27.1
2013-10-30 11:00:00,4.92713419763237,0.564939247160229,28.275
2013-10-30 12:00:00,4.929665325936769,0.536673467188219,28.575
2013-10-30 13:00:00,4.71066401660546,0.432535348347323,28.5833333333333
2013-10-30 14:00:00,5.01684487414875,0.5058812941470929,27.8
2013-10-30 15:00:00,4.98500999127005,0.44412674692728293,26.8333333333333
2013-10-30 16:00:00,4.94653887455525,0.41736228954120097,26.266666666666698
2013-10-30 17:00:00,4.78555586839349,0.379611425548371,25.4583333333333
